"Autor","Familia ","Genero","specie "
"Elda Araya","Lasiocampidae","Euglyphis","charax"
"Elda Araya","Nymphalidae","Memphis","lyceus"
"Elda Araya","Nymphalidae","Memphis","mora"
"Elda Araya","Saturniidae","Automeris","anikmeisterae"
"Elda Araya","Hesperiidae","Saliana","fusta"
"Elda Araya","Hesperiidae","Saliana"," severus"
"Elda Araya","Thyrididae","Dysodia","spissicornis"
"Elda Araya","Depressariidae","Ethmia"," lesliesaulae"
"Roster Moraga","Erebidae","Ormetica","sicilia"
"Roster Moraga","Lycaenidae","Atlides"," polybe"
"Roster Moraga","Sphingidae","Xylophanes","jocasta "
"Elda Araya","Erebidae","Ormetica","ataenia"
"Elda Araya","Erebidae","Carathis","septentrionalis"
"Elda Araya","Erebidae","Pachydota","rosenbergi"
"Elda Araya","Pyralidae","Hypsipyla","grandella"
"Elda Araya","Sphingidae","Pachylia","darceta "
"Elda Araya","Notodontidae","Hemiceras","subo"
"Elda Araya","Notodontidae","Hemiceras","zula"
"Elda Araya","Noctuidae","Darceta","falcata"
"Elda Araya","Notodontidae","Sericochroa","felderi"
"Elda Araya","Erebidae","Ceroctena","amynta"
"Carolina Cano","Noctuidae","Chrysodeixis","includens"
"Elieth Cantillano","Sphingidae","Amphonyx","duponchel "
"A Cantillano","Nymphalidae","Archaeoprepona"," demophoon"
"Elieth Cantillano","Nymphalidae","Prepona","demodice"
"Elieth Cantillano","Notodontidae","Strophocerus","thermesia"
"Elieth Cantillano","Sphingidae","Erinnyis ","crameri "
"Elieth Cantillano","Hesperiidae","Parathyris  ","georgina"
"Elieth Cantillano","Geometridae","Nemora","marielosae"
"Elieth Cantillano","Crambidae","Phostria","truncatalis"
"Elieth Cantillano","Erebidae"," Anomis","editrix"
"Elieth Cantillano","Hesperiidae","Erynnis","tristis"
"Elieth Cantillano","Hesperiidae","Carystus","phorcus"
"Elieth Cantillano","Hesperiidae","Mylon","pelopidas"
"Elieth Cantillano","Nymphalidae","Narope","Janzen01"
"Elieth Cantillano","Hesperiidae","Nascus","Burns01"
"Elieth Cantillano","Hesperiidae","Polythrix","asineDHJ02"
"Elieth Cantillano","Hesperiidae","Euphyes","peneia"
"Elieth Cantillano","Erebidae","Sanys","Poole02"
"Elieth Cantillano","Hesperiidae","Synaptes","silius"
"Elieth Cantillano","Hesperiidae","Aethilla","lavochrea"
"Elieth Cantillano","Hesperiidae","Astraptes","favilla"
"Elieth Cantillano","Hesperiidae","Epargyreus","Burns11"
"Elieth Cantillano","Hesperiidae","Astraptes","aulus"
"Elieth Cantillano","Geometridae","Euphyia","crispa"
"Elieth Cantillano","Geometridae","Melanchroia","chephiseDHJ02"
"Elieth Cantillano","Crambidae","Sparagmia","gonoptera"
"Elieth Cantillano","Pyralidae","Pococera","sadotha"
"Elieth Cantillano","Crambidae","Maracayia","chlorisalis"
"Elieth Cantillano","Erebidae","Eulepidotis","rectimargo"
"Jose Cortes","Crambidae","Aponia","itzalis"
"Elieth Cantillano","Crambidae","Microthyris","alvinalis"
"Elieth Cantillano","Nymphalidae","Eueides","procula"
"Elieth Cantillano","Crambidae"," Herpetogramma","salbialis"
"Elieth Cantillano","Crambidae","Portentomorpha","xanthialis"
"Elieth Cantillano","Crambidae","Micromartinia","mnemusalis"
"Elieth Cantillano","Crambidae","Pilocrocis","ramentalis"
"Freddy Quesada","Saturnidae","Automeris","postalbida"
"Freddy Quesada","Sphingidae","Eupyrrhoglossum","sagra"
"Freddy Quesada","Hedylidae","Macrosoma ","conifera "
"Freddy Quesada","Hedylidae","Macrosoma","cascaria"
"Freddy Quesada","Hedylidae","Macrosoma","tipulata"
"Freddy Quesada","Erebidae","Melese","incertus"
"Freddy Quesada","Hesperiidae","Gorgythion begga","pyralina"
"Freddy Quesada","Hesperiidae","Heliopetes","alana"
"Freddy Quesada","Sphingidae","Xylophanes","cthulhu"
"Freddy Quesada","Sphingidae","Perigonia","stulta"
"Freddy Quesada","Nolidae","Iscadia","argentea"
"Freddy Quesada","Erebidae","Leocephaluncus"," elianahenrichae"
"Freddy Quesada","Notodontidae","Strophocerus"," sericea"
"Freddy Quesada","Erebidae","Rejectaria","Poole14"
"Freddy Quesada","Depressariidae","Anadasmus","Janzen11"
"Freddy Quesada","Erebidae","Condica","funerea"
"Freddy Quesada","Notodontidae","Rosema","attenuata"
"Freddy Quesada","Notodontidae","Rhogalia","epigena"
"Freddy Quesada","Erebidae","Cecharismena","nealcesalis"
"Freddy Quesada","Erebidae","Rejectaria","Quesada01"
"Freddy Quesada","Saturniidae","Eacles","ormondei"
"Freddy Quesada","Nymphalidae","Ithomia","hippocrenis"
"Freddy Quesada","Geometridae","Phyllodonta"," latrata"
"Freddy Quesada","Nymphalidae","Eueides","aliphera"
"Freddy Quesada","Papilionidae","Battus","polydamas"
"Freddy Quesada","Erebidae","Coenipeta","tanais"
"Freddy Quesada","Nymphalidae","Lycorea","atergatis"
"Freddy Quesada","Erebidae","Lesmone","formularis"
"Freddy Quesada","Erebidae","Ypsora","selenodes "
"Freddy Quesada","Erebidae","Metalectra","Poole10"
"Freddy Quesada","Erebidae","Phaeoblemma","apicata "
"Gloria Sihezar","Hesperiidae","Bungalotis","erythus"
"Gloria Sihezar","Nymphalidae","Dynastor"," darius"
"Gloria Sihezar","Sphingidae","Nyceryx","magna"
"Gloria Sihezar","Hesperiidae"," Elbella","patrobasDH05"
"Gloria Sihezar","sphingidae","Eumorpha","triangulum"
"Gloria Sihezar","Nymphalidae","Caligo","atreus"
"Gloria Sihezar","Saturnidae","Citheronioides","collaris"
"Gloria Sihezar","Hesperiidae"," Astraptes ","alardes"
"Gloria Sihezar","Hesperiidae","Astraptes","enotrus"
"Gloria Sihezar","Sphingidae","Citheronia","lobesis "
"Gloria Sihezar","Sphingidae","Manduca","rustica"
"Gloria Sihezar","Hesperiidae","Tromba","xanthura"
"Gloria Sihezar","Hesperiidae","Astraptes","tucuti"
"Gloria Sihezar","Hesperiidae","Salatis ","canalis"
